"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
689,3.80432000383734703E-04,3.83630899013951429E-04,4.36838017776608467E-04,3.40172997675836086E-03,3.45712666749022936E-03,3.52405698504298925E-03,3.67222493514418602E-03,3.72337450506165634E-03,3.77046689391136169E-03
690,3.80982994101941586E-04,3.83540404727682443E-04,4.04600054025650024E-04,3.31341999117285013E-03,3.35345295257866247E-03,3.37677903007715940E-03,3.58229095581918955E-03,3.65325300954282353E-03,3.69174801744520664E-03
691,3.83184058591723442E-04,3.85991079965606319E-04,4.01290017180144787E-04,3.41467501129955053E-03,3.45563801238313317E-03,3.49432602524757385E-03,3.68320394773036242E-03,3.71811248478479605E-03,3.76640097238123417E-03
692,3.83726088330149651E-04,3.86471269303001442E-04,4.11357963457703590E-04,3.31161299254745245E-03,3.35229503689333770E-03,3.40293999761343002E-03,3.58516292180866003E-03,3.65297797601670015E-03,3.68832703679800034E-03
693,3.84313985705375671E-04,3.86547932284884163E-04,4.03221929445862770E-04,3.39773693121969700E-03,3.45405584899708502E-03,3.48399800714105368E-03,3.68261802941560745E-03,3.71318644029088258E-03,3.75040201470255852E-03
694,3.84891056455671787E-04,3.87537797796539958E-04,4.03932994231581688E-04,3.31662793178111315E-03,3.35230540833435838E-03,3.38559097144752741E-03,3.58378200326114893E-03,3.65072262007743332E-03,3.69104603305459023E-03
695,3.86529020033776760E-04,3.89025224139913860E-04,4.04769089072942734E-04,3.39596101548522711E-03,3.44965556752868056E-03,3.47400293685495853E-03,3.67578305304050446E-03,3.71014428324997324E-03,3.74414899852126837E-03
696,3.87015985324978828E-04,3.89626794494688314E-04,4.13607922382652760E-04,3.32098500803112984E-03,3.35138439782895056E-03,3.38749005459249020E-03,3.59012396074831486E-03,3.63361671566963217E-03,3.67100897710770369E-03
697,3.88437998481094837E-04,3.90561452368274231E-04,4.18091076426208019E-04,3.40355699881911278E-03,3.44413376180454896E-03,3.47897096071392298E-03,3.67175496648997068E-03,3.70940512395463978E-03,3.75609192997217178E-03
698,3.88899934478104115E-04,3.91055762302130398E-04,4.07077022828161716E-04,3.31810896750539541E-03,3.36330433143302784E-03,3.38818994350731373E-03,3.59696103259921074E-03,3.64783036173321447E-03,3.68539802730083466E-03
699,3.92728019505739212E-04,3.96415081340819610E-04,4.48403996415436268E-04,3.38675803504884243E-03,3.43595120590180171E-03,3.50160407833755016E-03,3.67165694478899240E-03,3.71137109352275832E-03,3.77123604994267225E-03
700,3.93345952033996582E-04,3.95819570403546173E-04,4.20198077335953712E-04,3.31625400576740503E-03,3.36306248907931047E-03,3.39202594477683306E-03,3.59166099224239588E-03,3.63664759090170106E-03,3.68719105608761311E-03
701,3.92418005503714085E-04,3.94782008952461157E-04,4.11672983318567276E-04,3.39563598390668631E-03,3.42771852971054556E-03,3.46787192393094301E-03,3.66347702220082283E-03,3.70634918333962544E-03,3.73454298824071884E-03
