"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
11,1.69029226526618004E-05,1.83801050297915895E-05,2.25330004468560219E-05,1.02478207554668188E-03,1.04866786859929566E-03,2.11333797778934240E-03,1.02770398370921612E-03,1.04423721553757775E-03,1.26732792705297470E-03
12,1.69459963217377663E-05,1.84638699283823368E-05,2.99970852211117744E-05,1.02542201057076454E-03,1.04195080231875184E-03,1.10359303653240204E-03,1.02472002618014812E-03,1.04042247869074356E-03,1.09277805313467979E-03
13,1.76329631358385086E-05,1.90468551591038693E-05,3.02579719573259354E-05,1.05025200173258781E-03,1.06562621775083285E-03,1.10881507862359285E-03,1.05267995968461037E-03,1.06472087092697627E-03,1.10386905726045370E-03
14,1.75529858097434044E-05,1.90468342043459413E-05,3.27499583363533020E-05,1.05189799796789885E-03,1.06739159207791100E-03,1.10838899854570627E-03,1.05220498517155647E-03,1.06963605969212874E-03,1.11675204243510962E-03
15,1.75971072167158127E-05,1.89202325418591530E-05,2.97999940812587738E-05,1.05376692954450846E-03,1.06516035157255807E-03,1.11171905882656574E-03,1.05259497649967670E-03,1.06508402852341475E-03,1.11271208152174950E-03
16,1.74709130078554153E-05,1.91334786359220694E-05,3.23670683428645134E-05,1.05162803083658218E-03,1.06581668718718024E-03,1.14719499833881855E-03,1.05215609073638916E-03,1.06441739830188476E-03,1.09776004683226347E-03
17,1.76290050148963928E-05,1.90071435645222625E-05,2.97479564324021339E-05,1.04989705141633749E-03,1.06962518999353029E-03,1.11774203833192587E-03,1.05351698584854603E-03,1.06656474294140923E-03,1.11275399103760719E-03
18,1.76029279828071594E-05,1.89158052671700749E-05,2.87059228867292404E-05,1.05503899976611137E-03,1.06676411116495744E-03,1.12225906923413277E-03,1.05328497011214495E-03,1.06640686164610060E-03,1.12797901965677738E-03
19,1.75009481608867645E-05,1.92067481111735130E-05,3.27830202877521515E-05,1.03125302121043205E-03,1.05513110407628140E-03,1.09987403266131878E-03,1.03029306046664715E-03,1.05537617113441243E-03,1.13002606667578220E-03
20,1.74290034919977188E-05,1.87100289622321779E-05,2.20320653170347214E-05,1.03930302429944277E-03,1.05313015403226025E-03,1.22075108811259270E-03,1.03541591670364141E-03,1.04971684166230259E-03,1.09397899359464645E-03
21,1.74139859154820442E-05,1.89730705460533565E-05,3.20519320666790009E-05,1.03826506529003382E-03,1.05476324679330022E-03,1.09138898551464081E-03,1.03975704405456781E-03,1.05491055757738665E-03,1.12350401468575001E-03
22,1.73739390447735786E-05,1.88974093180149804E-05,3.15089710056781769E-05,1.04047998320311308E-03,1.05466121458448422E-03,1.08843704219907522E-03,1.03530904743820429E-03,1.05051539372652786E-03,1.08893902506679296E-03
23,1.73490261659026146E-05,1.87641149386763527E-05,2.25870171561837196E-05,1.04282901156693697E-03,1.05571492807939645E-03,1.09690497629344463E-03,1.03883596602827311E-03,1.05244338628835950E-03,1.09152297955006361E-03
24,1.74599699676036835E-05,1.93227891577407746E-05,3.57619719579815865E-05,1.04023108724504709E-03,1.06720313662663152E-03,1.26647006254643202E-03,1.03993702214211226E-03,1.06617833720520157E-03,1.24140793923288584E-03
25,1.76540343090891838E-05,1.92547892220318323E-05,3.20719555020332336E-05,1.04105798527598381E-03,1.06392751913517679E-03,1.27973197959363461E-03,1.03776005562394857E-03,1.06226237840019184E-03,1.76836107857525349E-03
26,1.76170142367482185E-05,1.89911382040008846E-05,2.30350997298955917E-05,1.04158499743789434E-03,1.06263225665316030E-03,1.12734199501574039E-03,1.04103400371968746E-03,1.06092275702394522E-03,1.16315390914678574E-03
27,1.79739436134696007E-05,1.91334192641079434E-05,2.91370088234543800E-05,1.04730296880006790E-03,1.06082775280810890E-03,1.09408295247703791E-03,1.03359005879610777E-03,1.05641118250787269E-03,1.10377906821668148E-03
28,1.78680056706070900E-05,1.92459119716659154E-05,3.18770762532949448E-05,1.04779493995010853E-03,1.07120481785386804E-03,1.17687799502164125E-03,1.04147393722087145E-03,1.06949917855672519E-03,1.17026607040315866E-03
29,1.77799956873059273E-05,1.93000596482306719E-05,3.08019807562232018E-05,1.04794406797736883E-03,1.06253470061346889E-03,1.12266291398555040E-03,1.04577199090272188E-03,1.05966773931868443E-03,1.14612304605543613E-03
30,1.78400659933686256E-05,1.93256733473390362E-05,3.25531000271439552E-05,1.04764802381396294E-03,1.06292228330858059E-03,1.17204699199646711E-03,1.04646093677729368E-03,1.05860334122553435E-03,1.11474504228681326E-03
31,1.77719630300998688E-05,1.92666222574189299E-05,3.25610162690281868E-05,1.04684801772236824E-03,1.06361823389306649E-03,1.11473095603287220E-03,1.04570004623383284E-03,1.06089457636699054E-03,1.11078494228422642E-03
32,1.79039780050516129E-05,1.92349287681281565E-05,2.40379013121128082E-05,1.03550497442483902E-03,1.06009656679816500E-03,1.12132099457085133E-03,1.04493706021457911E-03,1.05875065084546889E-03,1.10929296351969242E-03
33,1.81839568540453911E-05,1.95829488802701201E-05,3.26860463246703148E-05,1.04207801632583141E-03,1.06360981473699258E-03,1.12730602268129587E-03,1.04777398519217968E-03,1.05996397789567647E-03,1.11873995047062635E-03
34,1.82350631803274155E-05,1.96553854038938887E-05,2.95189674943685532E-05,1.04669295251369476E-03,1.06383720529265677E-03,1.14926195237785578E-03,1.04680797085165977E-03,1.05998521903529755E-03,1.11514900345355272E-03
35,1.82969961315393448E-05,1.97007937822490895E-05,3.01130348816514015E-05,1.04552099946886301E-03,1.06423156452365277E-03,1.11328600905835629E-03,1.04217708576470613E-03,1.05990080861374748E-03,1.09390704892575741E-03
36,1.82129442691802979E-05,1.97370233945548557E-05,3.32610215991735458E-05,1.04918400757014751E-03,1.06575953192077576E-03,1.11771002411842346E-03,1.04888901114463806E-03,1.05946455500088659E-03,1.11839198507368565E-03
37,1.83180673047900200E-05,1.97076081531122330E-05,2.82680848613381386E-05,1.05193094350397587E-03,1.06748421443626307E-03,1.12546200398355722E-03,1.04854302480816841E-03,1.06544061796739705E-03,1.13008404150605202E-03
38,1.84960663318634033E-05,1.97686324827373005E-05,2.92779877781867981E-05,1.04749493766576052E-03,1.06469999882392581E-03,1.10367790330201387E-03,1.04928296059370041E-03,1.06446071760728928E-03,1.11978698987513781E-03
39,1.84909440577030182E-05,1.99242151575163026E-05,2.91049946099519730E-05,1.05181301478296518E-03,1.06918241828680006E-03,1.35947100352495909E-03,1.05102499946951866E-03,1.06819728040136435E-03,1.65616208687424660E-03
40,1.84759264811873436E-05,1.99910020455718000E-05,3.03140841424465179E-05,1.05174607597291470E-03,1.07138125458732317E-03,1.52211997192353010E-03,1.05155003257095814E-03,1.06665669823996739E-03,1.19630398694425821E-03
41,1.84049131348729134E-05,1.98896264191716871E-05,3.25290020555257797E-05,1.05557905044406652E-03,1.06746226898394594E-03,1.10102398321032524E-03,1.05187401641160250E-03,1.06514183571562141E-03,1.11971003934741020E-03
42,1.82890798896551132E-05,2.47041269904002538E-05,9.76750045083463192E-04,1.04257999919354916E-03,1.07822148711420626E-03,3.12771298922598362E-03,1.04208593256771564E-03,1.09786719898693238E-03,5.13047305867075920E-03
43,1.83420488610863686E-05,1.97535031475126730E-05,2.92069744318723679E-05,1.04757002554833889E-03,1.05832965229637945E-03,1.12299597822129726E-03,1.04207696858793497E-03,1.05702172499150043E-03,1.09017000067979097E-03
44,1.84309901669621468E-05,1.97740335715934667E-05,2.98030208796262741E-05,1.04385206941515207E-03,1.05814802111126494E-03,1.15292693953961134E-03,1.03652803227305412E-03,1.05497368378564731E-03,1.09262508340179920E-03
45,1.84000236913561821E-05,1.97521783411502887E-05,2.83119734376668930E-05,1.04535999707877636E-03,1.05990239419043067E-03,1.10430200584232807E-03,1.04333402123302221E-03,1.05707218055613324E-03,1.11174001358449459E-03
46,1.84949021786451340E-05,2.00363906333222955E-05,3.04200220853090286E-05,1.04203703813254833E-03,1.05908515746705239E-03,1.09623407479375601E-03,1.04529305826872587E-03,1.05573635897599199E-03,1.08956592157483101E-03
47,1.87309924513101578E-05,2.03492533182725384E-05,3.09050083160400391E-05,1.04808993637561798E-03,1.06472982442937843E-03,1.12000398803502321E-03,1.04459992144256830E-03,1.06349625391885679E-03,1.14189099986106157E-03
48,1.88590493053197861E-05,2.01097631361335502E-05,2.42859823629260063E-05,1.04541506152600050E-03,1.05868070153519516E-03,1.12310901749879122E-03,1.04465300682932138E-03,1.05740805389359610E-03,1.15313695278018713E-03
49,1.88039848580956459E-05,2.03587755095213672E-05,3.07810259982943535E-05,1.05170602910220623E-03,1.06837953208014399E-03,1.13188603427261114E-03,1.04851101059466600E-03,1.06617247918620677E-03,1.17758102715015411E-03
50,1.89669663086533546E-05,2.01746949460357391E-05,2.42809765040874481E-05,1.04847608599811792E-03,1.06624395586550234E-03,1.12061703111976385E-03,1.05048308614641428E-03,1.06649226159788706E-03,1.13269791472703218E-03
51,1.90319260582327843E-05,2.03953764867037548E-05,3.06940637528896332E-05,1.05370394885540009E-03,1.07214709860272719E-03,1.13669200800359249E-03,1.05604401323944330E-03,1.06849931296892496E-03,1.13167800009250641E-03
52,1.90370483323931694E-05,2.05973529955372122E-05,3.36789526045322418E-05,1.04908389039337635E-03,1.07180920313112451E-03,1.15181109867990017E-03,1.05269905179738998E-03,1.06614558026194559E-03,1.11046095844358206E-03
53,1.90609134733676910E-05,2.04298802418634320E-05,2.67600407823920250E-05,1.05612003244459629E-03,1.07296818168833852E-03,1.14890106488019228E-03,1.05889001861214638E-03,1.07099355431273559E-03,1.10796000808477402E-03
54,1.90569553524255753E-05,2.06819252343848291E-05,3.36309894919395447E-05,1.05382502079010010E-03,1.07238951721228687E-03,1.12885795533657074E-03,1.05481699574738741E-03,1.06780577800236610E-03,1.13122106995433569E-03
