"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
38,1.34670408442616463E-05,1.48258480476215484E-05,1.73270236700773239E-05,6.58976961858570576E-04,6.61659908946603194E-04,6.75041112117469311E-04,6.52901944704353809E-04,6.55762323876842826E-04,6.70982990413904190E-04
39,1.34839210659265518E-05,1.50484149344265454E-05,2.82339751720428467E-05,6.76576048135757446E-04,6.80611672578379187E-04,7.13562010787427425E-04,6.71238987706601620E-04,6.74929325468838514E-04,6.89405947923660278E-04
40,1.34760048240423203E-05,1.50770804611966042E-05,2.77449144050478935E-05,6.94541959092020988E-04,6.98184372158721072E-04,7.13412999175488949E-04,6.89566018991172314E-04,6.93574779434129622E-04,7.26175960153341293E-04
41,1.35569134727120399E-05,1.50490406667813686E-05,1.77359906956553459E-05,7.13326036930084229E-04,7.16244877548888152E-04,7.36407004296779633E-04,7.07395956851541996E-04,7.10835502250120013E-04,7.28554092347621918E-04
42,1.37540046125650406E-05,1.51542649837210779E-05,2.46299896389245987E-05,7.30542000383138657E-04,7.33548683347180698E-04,7.57174915634095669E-04,7.25597026757895947E-04,7.28568566264584669E-04,7.46609061025083065E-04
43,1.39420153573155403E-05,1.54069089330732784E-05,2.89850868284702301E-05,7.48313963413238525E-04,7.51090666744858265E-04,7.73470965214073658E-04,7.43429991416633129E-04,7.46334287105128382E-04,7.62928044423460960E-04
44,1.37200113385915756E-05,1.53789063915610300E-05,2.88819428533315659E-05,7.66274053603410721E-04,7.69611832220106970E-04,7.85173964686691761E-04,7.61446077376604080E-04,7.64131963951513479E-04,7.80193950049579144E-04
45,1.38619216158986092E-05,1.52649666415527466E-05,1.78869813680648804E-05,7.84851028583943844E-04,7.88605186389759044E-04,8.14007944427430630E-04,7.79477995820343494E-04,7.82483509974554172E-04,8.01392016001045704E-04
46,1.38290924951434135E-05,1.57166650751605630E-05,2.95289792120456696E-05,8.02468974143266678E-04,8.07718184078112366E-04,8.38622101582586765E-04,7.97756016254425049E-04,8.02830730099231217E-04,8.30915989354252815E-04
47,1.41739146783947945E-05,1.56101648462936263E-05,2.85159330815076828E-05,8.20617075078189373E-04,8.23474061908200717E-04,8.49497970193624496E-04,8.15587933175265789E-04,8.19078815402462992E-04,8.38213018141686916E-04
48,1.41629716381430626E-05,1.56986271031200844E-05,2.90990574285387993E-05,8.38735955767333508E-04,8.43067163368687146E-04,9.27772023715078831E-04,8.33611004054546356E-04,8.38083003181963799E-04,8.55903024785220623E-04
49,1.41810160130262375E-05,1.57762959133833552E-05,2.62829707935452461E-05,8.60197935253381729E-04,8.64166172686964425E-04,8.98133963346481323E-04,8.52023949846625328E-04,8.55971823912113849E-04,8.81058978848159313E-04
50,1.41699565574526787E-05,1.57625670544803124E-05,2.89499294012784958E-05,8.77634971402585506E-04,8.80611387547105304E-04,9.08646034076809883E-04,8.69804061949253082E-04,8.72523767175152989E-04,8.86332942172884941E-04
51,1.43030192703008652E-05,1.59133278066292447E-05,2.92939366772770882E-05,8.94414028152823448E-04,8.97968861972912608E-04,9.32264956645667553E-04,8.88640992343425751E-04,8.92074619187042429E-04,9.06946952454745770E-04
52,1.45969679579138756E-05,1.61947344895452218E-05,2.90150055661797523E-05,9.11831972189247608E-04,9.15204290067777064E-04,9.41367004998028278E-04,9.07257897779345512E-04,9.10873503889888234E-04,9.25829983316361904E-04
53,1.44840450957417488E-05,1.60584930563345516E-05,2.88910232484340668E-05,9.29528963752090931E-04,9.33073378400877014E-04,9.53320995904505253E-04,9.25823929719626904E-04,9.30068921297788642E-04,9.58270975388586521E-04
54,1.45180383697152138E-05,1.61447958089411248E-05,2.87790317088365555E-05,9.46215935982763767E-04,9.49839374516159470E-04,9.65788029134273529E-04,9.44168074056506157E-04,9.48073896579444166E-04,9.94945061393082142E-04
